"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MAPK1",0.184374505940837,1.56377650938905,0.104,0.027,1
"CD3G",0.187749531471499,0.596871481954074,0.292,0.162,1
"GPR171",0.188012731849,-4.18553716835136,0.021,0.081,1
"TNFSF8",0.189769118526587,-0.671227093936812,0.188,0.324,1
"SLAMF1",0.191545979502286,0.754303630254832,0.458,0.351,1
"NOTCH1",0.196244565813826,-3.62671224297263,0.021,0.081,1
"DUSP2",0.19986202098759,0.177039055834634,0.312,0.486,1
"ID2",0.209930341864654,2.27905784161205,0.167,0.081,1
"TNFRSF9",0.213494436358761,1.5150885699677,0.021,0.081,1
"ENTPD1",0.217900876759892,5.14875476436469,0.042,0,1
"FOXP3",0.217900876759892,6.86081129346545,0.042,0,1
"HMMR",0.217900876759892,4.30484106915129,0.042,0,1
"IER3",0.217900876759892,6.17381474530151,0.042,0,1
"LAYN",0.217900876759892,3.34936352468057,0.042,0,1
"MCM2",0.217900876759892,4.80777371646502,0.042,0,1
"IGBP1",0.218422576869701,-0.196991359113477,0.146,0.27,1
"CCL5",0.22125028101463,0.470202246187285,0.979,0.973,1
"FASLG",0.221630399692559,2.03872412992655,0.25,0.162,1
"IL7R",0.233062380103816,0.560255211867548,0.917,0.919,1
"PASK",0.234355221773085,-1.6554561357592,0.146,0.243,1
"KLRC3",0.244607746292554,2.93754032169308,0.125,0.054,1
"SELL",0.252034964966225,0.773357284121504,0.375,0.27,1
"IL2RB",0.252126454032744,-0.793733142642106,0.562,0.649,1
"ICOS",0.254932011476204,1.50538586961113,0.271,0.189,1
"FOXO1",0.261463434789674,1.43766640950312,0.25,0.162,1
"IL23R",0.262487473818729,0.244871617761086,0.667,0.568,1
"VNN2",0.262986268824793,5.42545961668502,0.083,0.027,1
"FOXO3",0.263547655307758,2.30668409109516,0.188,0.108,1
"ADGRG1",0.264738744791214,-1.51408393589386,0,0.027,1
"CD14",0.264738744791214,-1.51408393589386,0,0.027,1
"CD28:L293-CD28-AHS0138-pAbO",0.264738744791214,-4.70348166672064,0,0.027,1
"CD72",0.264738744791214,-3.57768319179204,0,0.027,1
"CD79A",0.264738744791214,-3.10672668902448,0,0.027,1
"CD79b-Cd79b-AMM2227-pAbO",0.264738744791214,-3.04236904947236,0,0.027,1
"CD9",0.264738744791214,-1.83740110208649,0,0.027,1
"CSF2",0.264738744791214,-4.03559844568162,0,0.027,1
"CSF3",0.264738744791214,-3.64164945179382,0,0.027,1
"CTSD",0.264738744791214,-3.10672668902448,0,0.027,1
"CXCL10",0.264738744791214,-1.48427056582935,0,0.027,1
"CXCR3",0.264738744791214,-5.93264192460925,0,0.027,1
"CustomAbSeq21-ACU7021-pAbO",0.264738744791214,-1.407639099333,0,0.027,1
"EOMES",0.264738744791214,-5.02324894603104,0,0.027,1
"F5",0.264738744791214,-3.04236904947236,0,0.027,1
"IFI27",0.264738744791214,-1.83740110208649,0,0.027,1
"IL18BP",0.264738744791214,-2.13439157999833,0,0.027,1
"KIR2DL4",0.264738744791214,-2.24273551312721,0,0.027,1
"NR1D1",0.264738744791214,-3.64164945179382,0,0.027,1
"NT5E",0.264738744791214,-5.3629194255958,0,0.027,1
"TCL1A",0.264738744791214,-4.71135378878767,0,0.027,1
