"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IRF8",0.713204069848653,2.86434135073009,0.059,0.081,1
"GNAI2",0.715542420138024,1.03235760410739,0.078,0.108,1
"VPS28",0.716751767280161,0.319172446163646,0.235,0.216,1
"LTB",0.720430266202218,-1.80133554014296,0.078,0.054,1
"CD28",0.725373938116536,0.647922188358853,0.235,0.216,1
"ICOS",0.731240039212427,1.30499340257778,0.196,0.189,1
"MYB",0.734611373010972,1.30670940890036,0.098,0.081,1
"NAMPT",0.740484467678661,0.377395514317261,0.294,0.324,1
"IFITM1",0.740727851908959,0.720263275738517,0.608,0.622,1
"CXCL5",0.745223958570708,-0.55682090882106,0.294,0.297,1
"IL18BP",0.746957082702258,1.05708233220809,0.039,0.027,1
"IL23A",0.746957082702258,1.73420881661019,0.039,0.027,1
"KDELR1",0.746957082702258,2.6831367857283,0.039,0.027,1
"YBX3",0.746957082702258,0.576114239219289,0.039,0.027,1
"IFNG",0.748781726642653,-0.158524497983447,0.745,0.703,1
"CSF1",0.751873304680055,0.142032428180938,0.039,0.054,1
"ICAM1",0.751873304680055,-1.19473370407144,0.039,0.054,1
"TIAF1",0.751873304680055,-1.48386826166984,0.039,0.054,1
"ZBTB32",0.751873304680055,-1.28889996873786,0.039,0.054,1
"CD52",0.754163125365657,-0.263662608776452,0.882,0.838,1
"CASP8",0.757351460553881,-1.43179264040511,0.118,0.135,1
"HAVCR2",0.760291485994299,1.41383134852396,0.098,0.081,1
"HOPX",0.761790170976613,-0.579536178644211,0.549,0.514,1
"HLA-DQB1",0.769713087915272,0.3040397501295,0.039,0.054,1
"DUSP1",0.771835392741976,-0.414149280841655,0.451,0.405,1
"JUN",0.773461146998143,0.441290837882357,0.216,0.189,1
"BIRC3",0.779001160539098,0.103628568825086,0.412,0.459,1
"LAG3",0.785283921976542,0.597053146450908,0.431,0.486,1
"KLRC2",0.787056534131586,1.44256534623493,0.216,0.216,1
"CBLB",0.787751511272516,-0.145230709019494,0.608,0.649,1
"IKZF1",0.797126714857621,0.188470674004632,0.49,0.432,1
"CST7",0.799764538034253,0.410899660811022,0.902,0.946,1
"TNFSF13B",0.806662399336121,0.614168669701639,0.471,0.432,1
"ZBP1",0.81389938034733,-0.582427943054685,0.118,0.135,1
"OAS1",0.815704472569521,0.963766606792183,0.196,0.189,1
"TRAC",0.816166497930625,0.16115955345036,0.941,0.946,1
"CXCR3",0.818715858013962,-4.14731271298658,0.02,0.027,1
"IFNGR2",0.818715858013962,-3.32123595844112,0.02,0.027,1
"PDGFA",0.818715858013962,-0.849601855508634,0.02,0.027,1
"TMEM97",0.818715858013962,-0.805561359671354,0.02,0.027,1
"VEGFA",0.818715858013962,-0.467421226886378,0.02,0.027,1
"GPR183",0.82351326925138,0.984265025871723,0.412,0.486,1
"XBP1",0.82427854333977,0.353375841440971,0.608,0.622,1
"CD8B",0.826554748524589,1.1208035500077,0.137,0.162,1
"LYN",0.834472809259326,-1.24584241296353,0.098,0.108,1
"FYN",0.835729343939652,0.147001304854668,0.863,0.865,1
"CD2",0.8392215528956,0.18941060376396,0.922,0.973,1
"CD4",0.844254432972729,-0.199798343958964,0.02,0.027,1
"CD9",0.844254432972729,1.33682712282096,0.02,0.027,1
"CTLA4",0.844254432972729,-0.154705269829507,0.02,0.027,1
"CustomAbSeq21-ACU7021-pAbO",0.844254432972729,0.72823558071543,0.02,0.027,1
"MR1",0.844254432972729,-0.323607609478978,0.02,0.027,1
