"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BIRC3",0.189611898979686,0.463463685446771,0.442,0.437,1
"TARP-refseq",0.189622961060412,0.997218079633672,0.268,0.238,1
"ITK",0.191832578586858,0.431530213459314,0.612,0.63,1
"CD56:NCAM16.2-NCAM1-AHS0019-pAbO",0.194639313250337,0.761556220411275,0.353,0.46,1
"IRF8",0.195133948082075,2.18999838165309,0.08,0.055,1
"CD8:SK1-CD8A-AHS0228-pAbO",0.195617380573712,-0.356171369651644,0.933,0.932,1
"S100A10",0.196321151598626,-0.253845278575645,0.554,0.675,1
"TCF7",0.202100401939074,2.2690318957897,0.049,0.029,1
"CD4:RPA-T4-CD4-AHS0227-pAbO",0.207197436907298,-0.319658904294418,0.777,0.852,1
"SOCS2",0.209810509667041,-2.44494657895441,0.004,0.016,1
"AHR",0.210864956522697,0.513165925154483,0.259,0.228,1
"GPR65",0.215030439982558,1.06160964780266,0.179,0.148,1
"ZBED2",0.215513473012183,3.96313565911765,0.018,0.006,1
"CST7",0.223026915761108,0.465061727632372,0.388,0.35,1
"ADGRE1",0.225054008416884,-0.647063104021728,0.022,0.042,1
"FOXO1",0.225555650873324,-0.15429748893404,0.143,0.193,1
"BTLA",0.226291734361128,0.704548090777601,0.031,0.055,1
"IL18BP",0.229671281851539,3.04993230647157,0.031,0.016,1
"HLA-DMA",0.234724250134038,-0.120664516295139,0.045,0.071,1
"BAX",0.235256496300094,0.493171537515659,0.478,0.45,1
"CTSW",0.237648160589404,0.861915687175226,0.094,0.068,1
"CD28",0.238934315111267,0.575497245240758,0.223,0.193,1
"SOCS1",0.240452724354453,0.321198596096718,0.08,0.055,1
"MR1",0.244603709883957,0.914443069458476,0.027,0.013,1
"CustomAbSeq11-ACU7011-pAbO",0.247256897717176,-0.791807177406964,0.982,0.99,1
"S1PR1",0.252580168497721,-0.286029057771413,0.295,0.36,1
"SLC25A37",0.261162619965456,-0.393236177393246,0.08,0.113,1
