"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STAT6",0.0356068576970898,1.84649160564158,0.061,0.029,1
"NR4A2",0.036011354369421,-1.19103144653483,0.049,0.087,1
"PASK",0.036286438456603,0.412644981608028,0.549,0.511,1
"CD3E",0.0375127700644465,0.38713078638027,0.636,0.63,1
"CD8A",0.0379415781765589,0.563868596811402,0.606,0.592,1
"JUND",0.038223355805405,0.220562961060815,0.866,0.868,1
"FTH1",0.0384016010994552,1.63377221741635,0.093,0.055,1
"CD38",0.0387042866236049,3.99765679720574,0.027,0.006,1
"GAPDH",0.0406206991593868,0.328747325574768,0.672,0.637,1
"VPS28",0.0410170135983286,0.487636277723019,0.244,0.19,1
"KIR2DL1",0.0466965283185303,-2.4431053324206,0.002,0.013,1
"IL6ST",0.0485785052817121,0.357580064586107,0.468,0.418,1
"MCM2",0.0533130807999727,0.662388176231266,0.045,0.019,1
"TRBV28",0.0533498332862815,1.06142858524539,0.062,0.032,1
"ZBED2",0.0539068305139252,3.67473067552099,0.025,0.006,1
"CD69-CD69-AHS0010-pAbO",0.0539175289209065,-0.326464258512576,0.843,0.897,1
"EOMES",0.0590183045363973,-3.12145198465768,0.004,0.016,1
"CD70",0.0594939754672399,6.02355030313084,0.011,0,1
"MS4A1",0.0595226947407452,-1.76929859567771,0.004,0.016,1
"CD3G",0.0624946962810286,0.620908980228685,0.256,0.209,1
"SLC16A1",0.0630386532506947,-0.769185104251854,0.061,0.096,1
"IGHG1-secreted",0.0639431492491729,-3.19917133563683,0.008,0.023,1
"FCGR3A",0.0641095800227223,-2.41272992909603,0.006,0.019,1
"THBS1",0.0662906809132303,-0.980703692602216,0.009,0.026,1
"TIGIT",0.0679355882706022,-0.210822807837091,0.044,0.074,1
"CCR5",0.0708184281418058,0.655472576162367,0.097,0.061,1
"GPR183",0.0717552281765798,0.101454610018829,0.261,0.325,1
"JUNB",0.0729725588242177,1.06480710560295,0.038,0.016,1
"KLRK1",0.0730534867688835,0.318421740701481,0.489,0.495,1
"MCM4",0.0737666448984452,4.92248397403266,0.017,0.003,1
"MT2A",0.0739781607302897,0.699995180186406,0.411,0.383,1
"IKZF2",0.0742932338120143,0.891225404912753,0.064,0.035,1
"RPN2",0.0755788939077341,0.118236231534803,0.644,0.621,1
"NFKB1",0.0829163073460476,0.313993774703413,0.504,0.489,1
"ADA",0.0867005388774852,0.655667672724912,0.188,0.145,1
"NCR3",0.0891244147809326,1.06734879995097,0.062,0.035,1
"ITGAL",0.0930677891973843,0.347816737103711,0.085,0.055,1
"IL12RB1",0.099336064118033,0.434365036573503,0.036,0.016,1
"SIT1",0.100531552540467,1.17666933650993,0.114,0.08,1
